"lat";"lon";"description";"nameObject";"numberMark";"typeObject";"address";"id"
"56.451205";"84.965274";"Телефон 8-913-800-04-76
Сайты https://vk.com/youthdanceteam, 
      https://www.instagram.com/youth_dance_team/";"Youth Dance Team";;"Клуб по интересам";"Проезд Вершинина, 76/3";"171"
"56.472516";"84.952796";"Телефон 8-999-619-71-96
Сайты https://vk.com/sl.oblik 
      https://www.instagram.com/sl.oblik/";"Сценическая лаборатория «Облик»";;"Клуб по интересам";"Советская улица, 45";"172"
"56.474117";"84.949697";"Телефон - 8-909-544-41-20  
Почта - trubachevv@mail.ru
сайты: https://vk.com/tsk_exciton
       https://www.instagram.com/exiton.tsk/ 
       exiton-dance.club";"Танцевальный клуб «Экситон-ТУСУР»";;"Клуб по интересам";"Пр. Ленина, 40";"173"
"56.466688";"84.977674";"Телефон 8-903-950-14-99 
Сайт takt.tomsk.ru";"«ТАКТ»";;"Спортивный клуб";"пр-т Кирова, 56а";"180"
"56.452488";"84.973592";"Телефон 8-903-950-14-99 
Сайт takt.tomsk.ru";"«ТАКТ»";;"Спортивный клуб";"ул. Ф. Лыткина, 10";"181"
"56.451558";"84.974913";"Телефон 8-903-950-14-99 
Сайт takt.tomsk.ru";"«ТАКТ»";;"Спортивный клуб";"ул. Ф. Лыткина, 18";"182"
"56.452548";"84.974895";"Телефон 8-903-950-14-99 
Сайт takt.tomsk.ru";"«ТАКТ»";;"Спортивный клуб";"ул. Ф. Лыткина, 8";"183"
"56.451364";"84.969892";;"Ростовская шаурма";;"Около корпусов";"Пр. Вершинина, 10";"184"
"56.451344";"84.962300";;"Panorama";;"Около корпусов";"Ул. Вершинина, 47А";"185"
"56.451143";"84.967637";;"Сибирские блины";;"Около корпусов";"Пр. Вершинина, 8";"186"
"56.453936";"84.975982";;"Пицце-Рио";;"Около корпусов";"Красноармейская улица, 135";"187"
"56.453936";"84.975982";;"А мы тут все плюшками балуемся";;"Около корпусов";"Красноармейская улица, 135";"188"
"56.455856";"84.973736";;"Макдоналдс";;"Около корпусов";"Красноармейская ул., 123А";"189"
"56.475514";"84.950604";;"Сибирское бистро";;"Около корпусов";"Ново-Соборная площадь, 2";"190"
"56.477075";"84.950595";;"Ребро";;"Около корпусов";"проспект Ленина, 77А";"191"
"56.477457";"84.950919";;"Кафедра";;"Около корпусов";"проспект Ленина, 79";"192"
"56.478500";"84.949500";;"Бургер кинг";;"Около корпусов";"проспект Ленина, 54А";"193"
"56.485821";"84.947569";"Сайт https://vk.com/sop_svbilet";"Проводники «СВ-Билет»";;"Студенческие отряды";"Пл. Ленина , 8";"195"
"56.485902";"84.947569";"Сайт https://vk.com/sservo_alitis";"Сервисный отряд «Алитис»";;"Студенческие отряды";"Пл. Ленина , 8";"196"
"56.485984";"84.947569";"Сайт https://vk.com/ssho_aqua";"Сельхоз-отряд «Аквамарин»";;"Студенческие отряды";"Пл. Ленина , 8";"197"
"56.486075";"84.947569";"Сайт https://vk.com/sso_radioboom";"Cтроительный отряд «РадиоBOOM»";;"Студенческие отряды";"Пл. Ленина , 8";"198"
"56.486165";"84.947569";"Сайт https://vk.com/spokanikuly";"Пед-отряд «Каникулы»";;"Студенческие отряды";"Пл. Ленина , 8";"199"
"56.486255";"84.947569";"Сайт https://vk.com/spo__fakel";"Пед-отряд «Факел»";;"Студенческие отряды";"Пл. Ленина , 8";"200"
